 2.300000e+00  2.800000e+00  0.000000e+00  1.279772e-02
 2.400000e+00  2.800000e+00  0.000000e+00  1.290501e-02
 2.500000e+00  2.800000e+00  0.000000e+00  1.300176e-02
 2.600000e+00  2.800000e+00  0.000000e+00  1.308998e-02
 2.700000e+00  2.800000e+00  0.000000e+00  1.317129e-02
 2.800000e+00  2.800000e+00  0.000000e+00  1.324698e-02
 2.900000e+00  2.800000e+00  0.000000e+00  1.331807e-02
 3.000000e+00  2.800000e+00  0.000000e+00  1.338539e-02
 3.100000e+00  2.800000e+00  0.000000e+00  1.344956e-02
 3.200000e+00  2.800000e+00  0.000000e+00  1.351112e-02
 3.300000e+00  2.800000e+00  0.000000e+00  1.357044e-02
 3.400000e+00  2.800000e+00  0.000000e+00  1.362788e-02
 3.500000e+00  2.800000e+00  0.000000e+00  1.368368e-02
 3.600000e+00  2.800000e+00  0.000000e+00  1.373805e-02
 0.000000e+00  3.400000e+00  0.000000e+00  1.969801e-20
 1.000000e-01  3.400000e+00  0.000000e+00  1.242904e-03
 2.000000e-01  3.400000e+00  0.000000e+00  2.446497e-03
 3.000000e-01  3.400000e+00  0.000000e+00  3.614157e-03
 4.000000e-01  3.400000e+00  0.000000e+00  4.744782e-03
 5.000000e-01  3.400000e+00  0.000000e+00  5.836855e-03
 6.000000e-01  3.400000e+00  0.000000e+00  6.888744e-03
 7.000000e-01  3.400000e+00  0.000000e+00  7.898702e-03
 8.000000e-01  3.400000e+00  0.000000e+00  8.864933e-03
 9.000000e-01  3.400000e+00  0.000000e+00  9.785574e-03
 1.000000e+00  3.400000e+00  0.000000e+00  1.065880e-02
 1.100000e+00  3.400000e+00  0.000000e+00  1.148286e-02
 1.200000e+00  3.400000e+00  0.000000e+00  1.225621e-02
 1.300000e+00  3.400000e+00  0.000000e+00  1.297760e-02
 1.400000e+00  3.400000e+00  0.000000e+00  1.364621e-02
 1.500000e+00  3.400000e+00  0.000000e+00  1.426177e-02
 1.600000e+00  3.400000e+00  0.000000e+00  1.482463e-02
 1.700000e+00  3.400000e+00  0.000000e+00  1.533582e-02
 1.800000e+00  3.400000e+00  0.000000e+00  1.579702e-02
 1.900000e+00  3.400000e+00  0.000000e+00  1.621055e-02
 2.000000e+00  3.400000e+00  0.000000e+00  1.657926e-02
 2.100000e+00  3.400000e+00  0.000000e+00  1.690647e-02
 2.200000e+00  3.400000e+00  0.000000e+00  1.719586e-02
 2.300000e+00  3.400000e+00  0.000000e+00  1.745131e-02
 2.400000e+00  3.400000e+00  0.000000e+00  1.767680e-02
 2.500000e+00  3.400000e+00  0.000000e+00  1.787616e-02
 2.600000e+00  3.400000e+00  0.000000e+00  1.805307e-02
 2.700000e+00  3.400000e+00  0.000000e+00  1.821086e-02
 2.800000e+00  3.400000e+00  0.000000e+00  1.835250e-02
 2.900000e+00  3.400000e+00  0.000000e+00  1.848059e-02
 3.000000e+00  3.400000e+00  0.000000e+00  1.859735e-02
 3.100000e+00  3.400000e+00  0.000000e+00  1.870465e-02
 3.200000e+00  3.400000e+00  0.000000e+00  1.880406e-02
 3.300000e+00  3.400000e+00  0.000000e+00  1.889686e-02
 3.400000e+00  3.400000e+00  0.000000e+00  1.898414e-02
 3.500000e+00  3.400000e+00  0.000000e+00  1.906675e-02
 3.600000e+00  3.400000e+00  0.000000e+00  1.914542e-02
 0.000000e+00  1.600000e+00  3.000000e+00  1.353531e-11
